,address,rent,beds,baths,borough,hood,elevator,doorman,laundry,furnished,sqft,page
87,East 73rd Street,2099,Studio,1,Manhattan,Upper East Side,False,False,False,False,,40
88,3rd av and 44 st,4900,3,2,Manhattan,Turtle Bay,True,True,False,False,1200,40
89,Madison Ave,3295,1,1,Manhattan,NoMad,False,False,False,False,,40
90,East 94th Street,4370,2,2,Manhattan,Yorkville,True,True,False,False,,40
100,217 Green Street Apt 3D,3275,2,1,Brooklyn,Greenpoint,True,False,False,False,,39
101,West 43rd Street,5720,2,2,Manhattan,Hell's Kitchen,True,True,True,False,,39
102,E 95th St,2895,2,1,Manhattan,Upper East Side,True,True,False,False,,39
103,E. 78th Street,2050,Studio,1,Manhattan,Upper East Side,False,False,False,False,,39
104,154 East 110th Street Apt 4AA...,2700,2,1,Manhattan,East Harlem,False,False,False,False,,39
105,W. 42nd St 8th Ave,2500,1,1,Manhattan,Hell's Kitchen,False,False,False,False,,39
106,57 Thames Street Apt 4O,3675,4,1,Brooklyn,East Williamsburg,True,False,False,False,925,39
107,Hell's Kitchen,3785,1,1,Manhattan,Hell's Kitchen,True,True,True,False,,39
108,Bedford Street,4440,2,1,Manhattan,West Village,False,False,False,False,,39
109,W 42nd St.,3390,1,1,Manhattan,Hell's Kitchen,True,True,False,False,,39
110,East 18th street,3600,2,1,Manhattan,Gramercy Park,True,False,False,False,800,39
111,West 55th Street,2150,Studio,1,Manhattan,Hell's Kitchen,True,True,False,False,,39
112,East 46th Street,2800,1,1,Manhattan,Turtle Bay,True,True,False,False,,39
120,276 East 23rd Street Apt 3 RM...,775,4,1,Brooklyn,Flatbush,False,False,False,False,,38
121,25 Bruckner Boulevard Apt 5V,3525,2,2,Bronx,Mott Haven,True,False,False,False,,38
122,808 Driggs Apt 2A,2700,1,1,Brooklyn,Williamsburg,True,False,False,False,700,38
123,Gold St,3400,1,1,Manhattan,Financial District,True,True,True,False,,38
124,River Road,4150,3,2,Manhattan,Roosevelt Island,True,True,True,False,1100,38
125,Astor Place,2995,1,1,Manhattan,NoHo,True,True,True,False,,38
126,E 20th St,6420,3,2,Manhattan,Stuyvesant Town - Peter Cooper Village,True,True,False,False,,38
127,E 88,3900,3,2,Manhattan,Yorkville,False,False,False,False,,38
128,West 96th Street,3425,2,1,Manhattan,Upper West Side,True,True,False,False,,38
129,Long Island City,3146,1,1,Queens,Long Island City,True,True,True,False,,38
140,1590 Lexington avenue,3107,3,1,Manhattan,East Harlem,False,False,True,False,,37
141,Water Street,4060,1,1,Manhattan,Financial District,True,True,False,False,,37
142,307 Grand Apt 3A,4500,3,2,Brooklyn,Williamsburg,False,False,False,False,,37
143,West 63rd Street,3200,1,1,Manhattan,Lincoln Square,True,False,False,False,700,37
144,232 Mott Apt 5A,6500,2,2,Manhattan,NoLita,True,False,True,False,,37
145,West 87th Street,2700,1,1,Manhattan,Upper West Side,False,False,False,False,,37
146,E 49th St.,3575,1,1,Manhattan,Turtle Bay,True,True,False,False,,37
147,East 50th Street,3375,2,1,Manhattan,Turtle Bay,True,False,False,False,,37
148,W 11th St,4899,2,2,Manhattan,West Village,False,False,False,False,,37
149,220 E 63rd St Apt PHD,6400,2,2,Manhattan,Upper East Side,False,False,False,False,,37
150,W 93th street,13000,4,4,Manhattan,Upper West Side,True,True,True,False,,37
151,538 W 50th Street Apt PHC1,4300,3,2,Manhattan,Hell's Kitchen,True,False,False,False,,37
152,275 South St Apt L6L,4217,3,1,Manhattan,Two Bridges,False,True,False,False,,37
160,Wall Street,2560,Studio,1,Manhattan,Financial District,True,True,True,False,,36
161,326 east 35th street,3107,2,1,Manhattan,Murray Hill,False,False,True,False,,36
162,West 56th Street,2990,1,1,Manhattan,Theater District,True,True,False,False,700,36
163,Ave B,4800,3,2,Manhattan,Alphabet City,False,False,True,False,,36
164,W. 54th Street,3135,1,1,Manhattan,Hell's Kitchen,True,True,False,False,,36
165,375 South End Avenue Apt 27L,3166,Studio,1,Manhattan,Battery Park City,False,False,False,False,599,36
166,E 32nd St.,3552,2,1,Manhattan,Rose Hill,False,False,True,False,,36
167,East 44th Street,2200,Studio,1,Manhattan,Turtle Bay,True,True,False,False,,36
168,5 Avenue,7095,2,2,Manhattan,Murray Hill,True,True,False,False,1008,36
169,Prince Street,3550,1,1,Manhattan,NoLita,True,False,False,False,,36
170,E 96th St.,3451,1,1,Manhattan,East Harlem,True,True,False,False,,36
171,889 Bushwick Apt 307,2144,1,1,Brooklyn,Bushwick,True,False,False,False,650,36
172,Lexington Avenue,2995,3,1,Manhattan,East Harlem,True,True,False,False,,36
180,John Street,4360,1,1,Manhattan,Financial District,True,True,False,False,,35
181,20 Broad St Apt 1511,4885,2,1,Manhattan,Financial District,False,False,False,False,,35
182,20 Pine St Apt 909,2975,Studio,1,Manhattan,Financial District,True,True,True,False,,35
183,West 36th Street,2195,1,1,Manhattan,Hell's Kitchen,False,False,False,False,,35
184,3333 Broadway Apt C8K,2695,2,1,Manhattan,Manhattanville,True,True,False,False,,35
185,171 Avenue A,3995,2,1,Manhattan,East Village,False,False,False,False,,35
187,Gold Street,6055,3,3,Brooklyn,Downtown Brooklyn,False,False,True,False,,35
188,34 Desbrosses St Apt 406,4295,1,1,Manhattan,Tribeca,True,True,False,False,,35
189,W 55th St,2795,1,1,Manhattan,Hell's Kitchen,True,True,False,False,,35
190,W 67th St.,4000,1,1,Manhattan,Lincoln Square,True,True,True,False,,35
196,East 86th St,3750,1,1,Manhattan,Upper East Side,True,True,False,False,,35
198,West 45th Street,1795,1,1,Manhattan,Hell's Kitchen,False,False,False,False,,35
200,Hell's Kitchen,5000,2,2,Manhattan,Hell's Kitchen,True,True,True,False,,34
201,W 67th St.,7500,3,2,Manhattan,Lincoln Square,True,True,True,False,1300,34
202,West Street,2400,Studio,1,Manhattan,Financial District,True,True,False,False,,34
203,E 86th,3895,3,1,Manhattan,Carnegie Hill,True,True,False,False,,34
204,65 Ainslie Street Apt 405,4800,2,2,Brooklyn,East Williamsburg,True,False,True,False,1150,34
205,5 Avenue,7089,2,2,Manhattan,Murray Hill,True,True,False,False,1008,34
206,618 Bushwick,2362,1,1,Brooklyn,Bushwick,False,False,False,False,650,34
207,19 West 69th Street,2850,1,1,Manhattan,Lincoln Square,True,True,False,False,,34
208,429 e 52nd street,4000,3,2,Manhattan,Turtle Bay,True,True,False,False,950,34
220,Gold Street,2595,Studio,1,Manhattan,Financial District,True,True,False,False,,33
221,321 Wythe Avenue Apt 1504,4925,2,1,Brooklyn,Williamsburg,True,True,False,False,,33
222,West 43rd Street,2914,1,1,Manhattan,Hell's Kitchen,True,True,False,False,,33
223,E 88th St.,2699,1,1,Manhattan,Yorkville,False,False,False,False,,33
