,address,rent,beds,baths,borough,hood,elevator,doorman,laundry,furnished,sqft,page
2722,Washington Street,2577,Studio,1,Manhattan,Financial District,True,True,False,False,,2651
2723,West 42nd Street,2300,Studio,1,Manhattan,Theater District,True,True,True,False,,2651
2728,NO FEE! Stunning 2 BED 2 Bath ...,4400,2,2,Brooklyn,Boerum Hill,False,False,True,False,,2650
2729,West 43rd Street,3277,1,1,Manhattan,Hell's Kitchen,True,True,False,False,,2650
2730,East 74th Street,2520,1,1,Manhattan,Upper East Side,False,False,False,False,,2650
2731,East 73rd Street,2450,Studio,1,Manhattan,Upper East Side,False,False,False,False,,2650
2732,West 45th Street,3095,1,1,Manhattan,Hell's Kitchen,True,True,True,False,650,2650
2733,East 56th Street,3000,Studio,1,Manhattan,Sutton Place,True,False,False,False,,2650
2734,60 Hancock Street Apt 4R,1750,1,1,Brooklyn,Bedford-Stuyvesant,False,False,False,False,,2650
2735,West 37th Street,3200,2,1,Manhattan,Hell's Kitchen,True,True,False,False,,2650
2736,53 street,3300,2,1,Manhattan,Hell's Kitchen,True,True,False,False,,2650
2737,Fulton Street,3320,2,1,Manhattan,Financial District,True,True,True,False,,2650
2738,East 78th Street,3100,1,1,Manhattan,Upper East Side,False,False,True,False,,2650
2739,Washington St,4107,1,2,Brooklyn,DUMBO,True,False,True,False,861,2650
2740,West 15th Street,4721,1,1,Manhattan,Chelsea,False,True,False,False,,2650
2741,Clinton St,2600,1,1,Manhattan,Lower East Side,False,False,False,False,,2650
2742,265 South 2nd Apt C7226,3275,3,1,Brooklyn,Williamsburg,False,False,False,False,,2650
2743,Nassau Street,3870,1,1,Brooklyn,Downtown Brooklyn,False,True,False,False,790,2650
2747,East 71st Street,3800,1,1,Manhattan,Lenox Hill,False,False,False,False,,2649
2748,Barclay St.,3150,2,1,Manhattan,Tribeca,True,True,False,False,,2649
2749,North Moore Street,4695,1,1,Manhattan,Tribeca,True,True,True,False,,2649
2750,Luxury High-rise with gorgeous...,4200,1,1,Manhattan,Financial District,True,True,True,False,,2649
2751,Lexington Avenue,2450,Studio,1,Manhattan,Turtle Bay,True,False,False,False,,2649
2752,William Street,2845,1,1,Manhattan,Financial District,True,True,True,False,,2649
2753,2nd Ave/E 94 st,2450,1,1,Manhattan,Yorkville,False,False,False,False,,2649
2754,Bond Street,2795,1,1,Brooklyn,Downtown Brooklyn,True,True,True,False,,2649
2755,avenue s,2200,3,1,Brooklyn,Gravesend,False,False,False,False,1200,2649
2756,NO FEE - 1 MONTH FREE - MOVE ...,2695,1,1,Queens,Hunters Point,True,True,True,False,725,2649
2757,East 78th Street,2108,Studio,1,Manhattan,Upper East Side,False,False,False,False,,2649
2758,E. 81st Street,2025,Studio,1,Manhattan,Yorkville,False,False,False,False,,2649
2759,East 43rd,4295,3,1,Manhattan,Tudor City,True,True,False,False,,2649
2760,37th St.,2650,2,1,Queens,Astoria,False,False,False,False,,2649
2761,Brooklyn Heights,3400,1,1,Brooklyn,Brooklyn Heights,False,False,False,False,750,2649
2762,1st ave,2800,2,1,Manhattan,Upper East Side,False,False,False,False,,2649
2764,E 66th st,5000,1,2,Manhattan,Upper East Side,True,True,False,False,900,2649
2765,E 77th St,1900,Studio,1,Manhattan,Upper East Side,True,False,False,False,,2649
2767,615 Fort Washington Avenue A...,2292,2,1,Manhattan,Hudson Heights,True,False,False,False,650,2648
2768,East 53rd St And 2nd Ave,3695,2,2,Manhattan,Turtle Bay,False,False,False,False,2500,2648
2769,Nassau Street,4015,1,1,Brooklyn,Downtown Brooklyn,False,True,False,False,755,2648
2770,Lincoln Pl,6525,2,2,Manhattan,Lincoln Square,False,False,False,False,,2648
2771,16-18 Jefferson Avenue Ridgew...,2050,2,1,Queens,Ridgewood,False,False,False,False,800,2648
2772,Wall Street,3098,Studio,1,Manhattan,Financial District,True,True,True,False,487,2648
2773,61 Street,2475,2,1,Queens,Woodside,False,False,False,False,,2648
2774,Upper West Side,5600,3,3,Manhattan,Upper West Side,True,True,True,False,,2648
2775,East 48th Street,6300,3,2,Manhattan,Turtle Bay,False,True,False,False,,2648
2776,Fleet St,3300,1,1,Brooklyn,Downtown Brooklyn,False,True,False,False,,2648
2777,East 63rd Street,3750,1,1,Manhattan,Upper East Side,False,True,False,False,640,2648
2778,East 57th Street,4950,2,2,Manhattan,Midtown East,True,True,False,False,,2648
2779,West 45th Street,5695,4,2,Manhattan,Hell's Kitchen,True,True,True,False,,2648
2780,East 87 Street,2900,2,1,Manhattan,Yorkville,False,False,False,False,,2648
2781,Steinway St,1675,1,1,Queens,Astoria,False,False,False,False,,2648
2782,East 84th Street,2362,1,1,Manhattan,Yorkville,False,False,True,False,,2648
2783,Greenwich Street,4350,2,1,Manhattan,West Village,True,True,True,False,,2648
2784,East 38th Street,3050,Studio,1,Manhattan,Murray Hill,True,False,False,False,,2648
2787,42nd Avenue,2095,2,1,Queens,Auburndale,False,False,False,False,,2647
2788,4th Avenue,2300,1,1,Brooklyn,Gowanus,False,False,False,False,,2647
2789,12 East 22nd St Apt 5,3495,Loft,1,Manhattan,Flatiron District,True,False,False,False,650,2647
2790,North 3rd St,3221,1,1,Brooklyn,Williamsburg,False,False,True,False,,2647
2791,E 57,5273,4,2,Manhattan,Sutton Place,False,False,True,False,,2647
2792,East 63rd street and Third ave...,5195,2,1,Manhattan,Upper East Side,True,True,False,False,,2647
2793,W 63rd St,2999,3,1,Manhattan,Lincoln Square,True,True,False,False,,2647
2794,East 94th Street,3900,2,1,Manhattan,Yorkville,True,True,True,False,,2647
2795,East 32nd Street,2325,Studio,1,Manhattan,Murray Hill,True,True,False,False,,2647
2796,Broome Street,4125,3,1,Manhattan,Cooperative Village,False,False,True,False,,2647
2797,John Street,3300,3,1,Manhattan,Financial District,True,True,False,False,,2647
2798,West 66th Street,3415,1,1,Manhattan,Lincoln Square,True,True,False,False,,2647
2799,Downtown Brooklyn,3250,1,1,Brooklyn,Downtown Brooklyn,True,True,True,False,,2647
2800,Crescent St.,3857,3,1,Queens,Long Island City,True,True,True,False,,2647
2801,West 42nd Street,4000,2,1,Manhattan,Theater District,True,True,True,False,,2646
2802,West 43rd Street,2500,Studio,1,Manhattan,Hell's Kitchen,True,True,True,False,,2646
2803,East 52nd Street,3495,2,1,Manhattan,Turtle Bay,True,False,False,False,,2646
2804,east 22,2400,1,1,Manhattan,Gramercy Park,False,False,False,False,,2646
2805,24th Street,3640,2,1,Queens,Long Island City,False,True,True,False,,2646
2806,Metropolitan Ave,3230,1,1,Brooklyn,East Williamsburg,True,False,True,False,,2646
2807,1602 West 10 Street Apt B4,1650,1,1,Brooklyn,Gravesend,True,False,False,False,800,2646
2808,EVGB,12329,3,2,Manhattan,Alphabet City,True,True,True,True,,2646
2809,Duane Street,5385,1,1,Manhattan,Tribeca,True,True,False,False,850,2646
2810,Stanton St,3203,1,1,Manhattan,Lower East Side,True,False,False,False,,2646
2811,Fourth Avenue,3775,1,1,Manhattan,Greenwich Village,True,True,False,False,659,2646
2812,Madison Avenue,3150,1,1,Manhattan,Murray Hill,True,True,True,False,,2646
2813,West 58th Street,3300,1,1,Manhattan,Theater District,True,True,False,False,,2646
2814,Suffolk Street,4095,2,1,Manhattan,Lower East Side,True,False,True,False,,2646
2815,Thompson Street,3595,2,1,Manhattan,Greenwich Village,False,False,True,False,,2646
2816,Center Boulevard,4150,2,2,Queens,Hunters Point,False,True,False,False,,2646
2817,East 47th Street,6000,4,2,Manhattan,Turtle Bay,True,True,True,False,,2646
2818,72nd St & 3rd Ave,3500,2,1,Manhattan,Upper East Side,True,True,False,False,,2646
2821,Saint Nicholas Avenue,1482,Studio,1,Manhattan,Washington Heights,True,False,True,False,,2645
2822,Battery Pl,3450,1,1,Manhattan,Battery Park City,True,True,False,False,721,2645
2823,520 East 159th Street Apt C,1750,2,1,Bronx,Woodstock,False,False,True,False,,2645
2824,Linden Blvd,2525,3,1,Brooklyn,Flatbush,False,False,False,False,,2645
2825,Lexington ave,3250,1,1,Manhattan,Rose Hill,True,False,False,False,,2645
2826,Broad Street,2865,2,1,Manhattan,Financial District,True,True,True,False,,2645
2827,West Street,2795,1,1,Manhattan,Financial District,True,True,False,False,,2645
2828,East 9th Street,3995,2,1,Manhattan,East Village,False,False,True,False,,2645
2829,East 34th Street,2750,1,1,Manhattan,Rose Hill,False,False,False,False,,2645
2830,East 87th Street,2295,1,1,Manhattan,Yorkville,False,False,False,False,,2645
2831,Center Boulevard,4000,2,1,Queens,Hunters Point,False,True,False,False,,2645
2832,East 108th St,1950,1,1,Manhattan,East Harlem,False,False,False,False,,2645
2833,East 38th Street,4300,3,1,Manhattan,Murray Hill,True,True,False,False,,2645
2834,East 58th Street,4650,1,1,Manhattan,Midtown East,False,True,False,False,1100,2645
2835,King Street,2700,Studio,1,Manhattan,SoHo,False,False,True,False,,2645
2836,Convent Avenue,1900,2,1,Manhattan,Hamilton Heights,True,False,False,False,,2645
2837,East 48th Street,6428,3,2,Manhattan,Turtle Bay,False,True,False,False,,2645
2838,East 30th st,4700,3,1,Manhattan,Rose Hill,True,False,False,False,900,2645
2839,10th Avenue,4295,3,2,Manhattan,Hell's Kitchen,False,True,True,False,,2645
2841,468 West 144th Street Apt#3 ...,2100,Studio,1,Manhattan,Hamilton Heights,False,False,False,True,,2644
2842,80th St,1650,Studio,1,Queens,Jackson Heights,False,False,False,False,,2644
2843,East 63rd Street,3995,1,1,Manhattan,Upper East Side,False,True,False,False,,2644
2844,Delancey,3290,Studio,1,Manhattan,Lower East Side,True,True,True,False,,2644
2845,East End Avenue,1850,Studio,1,Manhattan,Yorkville,False,False,False,False,,2644
2846,Riverside Drive,2300,1,1,Manhattan,Hudson Heights,True,True,False,False,,2644
2847,5th Avenue,2000,1,1,Brooklyn,Sunset Park,False,False,False,False,,2644
2848,Beaver Street,3795,3,1,Manhattan,Financial District,True,True,True,False,,2644
2849,East 87th Street,2900,2,1,Manhattan,Yorkville,False,False,False,False,,2644
2850,Park Avenue South,3570,2,1,Manhattan,Gramercy Park,True,True,False,False,,2644
2851,Greenpoint Ave and Manhattan A...,2700,1,1,Brooklyn,Greenpoint,True,True,True,False,,2644
2853,St Nicholas Pl,2100,1,1,Manhattan,Hamilton Heights,True,False,False,False,,2644
2854,36-04 Ditmars Blvd Astoria N...,3400,4,1,Queens,Astoria,False,False,False,False,1100,2644
2855,Fourth Avenue,3270,Studio,1,Manhattan,Greenwich Village,True,True,False,False,,2644
2856,Washington Street,3400,2,1,Manhattan,Financial District,False,False,False,False,,2644
2857,West 64th Street,3195,3,1,Manhattan,Lincoln Square,True,True,False,False,,2644
2859,E 20s Street,5000,3,2,Manhattan,Gramercy Park,True,False,False,False,1100,2644
2861,West 45th Street,2600,Studio,1,Manhattan,Hell's Kitchen,True,True,True,False,,2643
2862,UPPER EAST SIDE,7200,3,3,Manhattan,Lenox Hill,True,True,True,False,,2643
2863,East 91st Street,2200,Studio,1,Manhattan,Yorkville,True,False,False,False,,2643
2864,Stanton Street,6962,4,2,Manhattan,Lower East Side,True,False,True,False,,2643
2865,Crescent St.,2825,1,1,Queens,Long Island City,True,True,True,False,,2643
2866,West 57th Street,3150,2,1,Manhattan,Hell's Kitchen,True,True,True,False,,2643
2867,West Street,2395,1,1,Manhattan,Financial District,True,True,False,False,,2643
2868,West 43rd Street,4596,2,2,Manhattan,Hell's Kitchen,True,True,False,False,,2643
2869,E 85TH STREET,2100,Studio,1,Manhattan,Yorkville,True,False,False,False,,2643
2870,East 75th Street,2750,2,1,Manhattan,Upper East Side,False,False,False,False,,2643
2871,Columbia Place Brooklyn Heigh...,4500,2,2,Brooklyn,Brooklyn Heights,False,True,False,False,,2643
2872,East 25th,4600,3,2,Manhattan,Kips Bay,True,True,False,False,,2643
2873,Fort Washington Avenue,2174,Studio,1,Manhattan,Hudson Heights,True,False,False,False,,2643
2874,52nd street,1750,1,1,Brooklyn,Sunset Park,False,False,False,False,,2643
2875,West 89th St,4329,1,1,Manhattan,Upper West Side,True,True,False,False,673,2643
2876,East 72nd Street,3295,2,1,Manhattan,Upper East Side,True,True,True,False,,2643
2881,Fifth Avenue,6400,2,2,Manhattan,Central Park,True,True,True,False,,2642
2882,west 46,2395,Studio,1,Manhattan,Hell's Kitchen,False,False,False,False,,2642
2883,West 47th Street,2100,Studio,1,Manhattan,Hell's Kitchen,False,False,True,False,,2642
2884,947 Avenue St. Johns Apt 4A,1700,2,1,Bronx,Longwood,False,False,False,False,,2642
2885,Dean Street,2455,Studio,1,Brooklyn,Prospect Heights,False,True,False,False,,2642
2886,W. 16th and 7th Ave,2650,1,1,Manhattan,Chelsea,False,False,False,False,,2642
2887,W 57 STREET,3309,1,1,Manhattan,Hell's Kitchen,True,True,True,False,,2642
2888,Midtown / Times Square / Hudso...,2750,Studio,1,Manhattan,Hell's Kitchen,True,True,True,False,,2642
2889,58th St Third Avenue and Seco...,2400,1,1,Manhattan,Midtown East,False,False,False,False,550,2642
2890,East 35th St and Third Ave,2650,1,1,Manhattan,Murray Hill,True,True,False,False,,2642
2892,Mott st/Broome st,3495,1,1,Manhattan,Little Italy,False,False,False,False,,2642
2893,East Houston Street,4782,1,1,Manhattan,Lower East Side,True,True,True,True,,2642
2894,29 Street,2100,2,1,Queens,Astoria,False,False,False,False,,2642
2895,Wall & Broad,2750,1,1,Manhattan,Financial District,True,True,False,False,,2642
2896,Thompson St.,2450,1,1,Manhattan,Greenwich Village,False,False,False,False,,2642
2897,Gowanus 2-bedroom 2-bath,5060,2,2,Brooklyn,Gowanus,True,True,True,False,,2642
2901,3143 Broadway Apt 1B,2900,3,1,Manhattan,Morningside Heights,False,False,False,False,,2641
2902,24th Street,2850,1,1,Queens,Long Island City,True,True,True,False,,2641
2903,BROAD ST= -STUNNING PLACE = NO...,2710,Studio,1,Manhattan,Financial District,True,True,True,False,,2641
2904,Washington Street,3500,2,1,Manhattan,Financial District,False,False,False,False,,2641
2905,Broome St.,3795,3,1,Manhattan,Cooperative Village,False,False,False,False,,2641
2906,W 42nd St,3100,2,1,Manhattan,Theater District,True,True,True,False,,2641
2907,Desbrosses Street,3515,1,1,Manhattan,Tribeca,True,True,False,False,,2641
2908,East 21st St,4240,2,1,Manhattan,Gramercy Park,False,False,True,False,800,2641
2909,23rd Street,2050,1,1,Queens,Astoria,False,False,True,False,,2641
2910,E 4th St,3175,2,1,Manhattan,Bowery,False,False,False,False,,2641
2911,Center Boulevard,5031,2,2,Queens,Hunters Point,True,True,True,False,1000,2641
2912,Grove Street,2675,Studio,1,Manhattan,West Village,False,False,False,False,,2641
2913,Center Boulevard,2350,Studio,1,Queens,Hunters Point,True,True,False,False,500,2641
2914,UPPER WEST SIDE,4690,2,2,Manhattan,Lincoln Square,True,True,True,False,,2641
2915,25th Road,3500,3,2,Queens,Astoria,False,False,False,False,,2641
2916,57th St & Lexington Ave,5200,2,2,Manhattan,Midtown East,True,True,False,False,1200,2641
2917,W 52ND STREET 2BR,3350,2,1,Manhattan,Hell's Kitchen,False,True,False,False,790,2641
2918,W 54 St.,5000,3,2,Manhattan,Theater District,True,True,False,False,,2641
2919,midtown east,4295,3,1,Manhattan,Tudor City,True,True,False,False,,2641
2921,East 52nd street,5000,3,1,Manhattan,Turtle Bay,True,False,False,False,,2640
2922,Claremonte Ave & 122nd St,1995,Studio,1,Manhattan,Morningside Heights,True,False,False,False,,2640
2923,East 31st Street,3935,1,1,Manhattan,Rose Hill,True,True,False,False,664,2640
2924,Willoughby Street,4100,2,2,Brooklyn,Downtown Brooklyn,True,False,True,False,,2640
2925,Gold Street,4695,2,2,Brooklyn,Vinegar Hill,True,True,True,False,,2640
2926,west 12,3895,1,1,Manhattan,West Village,True,True,False,False,,2640
2927,647 Flatbush Avenue Apt 3,2295,2,1,Brooklyn,Prospect Lefferts Gardens,False,False,False,False,,2640
2928,East 48th Street,2350,Studio,1,Manhattan,Turtle Bay,True,False,False,False,,2640
2929,East 10th Street,2625,1,1,Manhattan,Alphabet City,False,False,False,False,,2640
2930,1082 Greene Avenue Apt 2,3350,3,2,Brooklyn,Bushwick,False,False,False,False,1050,2640
2931,West 50th Street,3072,Studio,1,Manhattan,Theater District,False,True,False,False,,2640
2932,W 23 st/7th Ave,2806,Studio,1,Manhattan,Chelsea,True,True,True,False,,2640
2933,Hudson St & Perry St.,3574,1,1,Manhattan,West Village,False,False,True,False,,2640
2934,1160 2nd ave,2195,Studio,1,Manhattan,Upper East Side,False,False,False,False,,2640
2935,Greenwich St,5100,3,2,Manhattan,West Village,True,True,False,False,,2640
2937,4th Avenue,2200,2,1,Brooklyn,Sunset Park,False,False,False,False,,2640
2941,24 th Street,2645,2,1,Queens,Long Island City,True,True,False,False,740,2639
2942,Yellowstone Boulevard,1650,Studio,1,Queens,Rego Park,False,False,False,False,,2639
2943,E 34th St,3795,2,1,Manhattan,Murray Hill,True,True,False,False,,2639
2944,Linden & Bushwick 3 Bedroom,2567,3,1,Brooklyn,Bushwick,False,False,True,False,,2639
2945,amsterdam,2000,2,1,Manhattan,Washington Heights,False,False,False,False,,2639
2946,West 53rd Street,2500,Studio,1,Manhattan,Hell's Kitchen,True,True,False,False,,2639
2948,East 27th Street,2375,Studio,1,Manhattan,Rose Hill,True,False,False,False,,2639
2950,east 76 st,2000,1,1,Manhattan,Upper East Side,False,False,False,False,,2639
2951,E. 33rd Street,5225,2,2,Manhattan,Kips Bay,True,True,True,False,,2639
2952,West 37th Street,3295,2,1,Manhattan,Hell's Kitchen,True,True,False,False,,2639
2953,broad street,3300,2,1,Manhattan,Financial District,True,True,False,False,,2639
2954,E 34th St,3980,1,1,Manhattan,Kips Bay,True,True,False,False,,2639
2956,West 63rd Street,3923,1,1,Manhattan,Lincoln Square,True,True,False,False,639,2639
2961,E. 78th Street,1775,Studio,1,Manhattan,Upper East Side,False,False,False,False,,2638
2962,Amsterdam Avenue,3710,1,1,Manhattan,Morningside Heights,True,True,False,False,,2638
2963,Maiden Ln,3295,Studio,1,Manhattan,Financial District,True,True,False,False,,2638
2964,90th StLexington Avenue and T...,3749,1,1,Manhattan,Upper East Side,False,False,True,False,,2638
2965,Lexington Ave,3483,2,1,Manhattan,Upper East Side,False,False,True,False,,2638
2966,east 7,3300,2,1,Manhattan,East Village,True,False,False,False,,2638
2967,soho modern loft,14000,3,2,Manhattan,SoHo,True,False,False,False,,2638
2969,North 5th Street,3438,1,1,Brooklyn,Williamsburg,False,True,False,False,,2637
2970,132 Nostrand Avenue,995,Share,1,Brooklyn,Bedford-Stuyvesant,False,False,False,False,,2637
2972,East 88 street,2450,1,1,Manhattan,Yorkville,True,False,True,False,,2637
2973,69 Street,2500,3,2,Queens,Maspeth,False,False,False,False,,2637
2974,W. 24th Street,4740,1,1,Manhattan,Chelsea,True,True,True,False,,2637
2975,East 57th Street,6195,4,2,Manhattan,Sutton Place,False,True,True,False,,2637
2976,West 31st Street,3500,1,1,Manhattan,Chelsea,False,True,True,True,,2637
2977,Desbrosses Street,3615,1,1,Manhattan,Tribeca,True,True,False,False,,2637
2978,Clinton St,2356,1,1,Manhattan,Lower East Side,False,False,False,False,,2637
2980,28th Street,3950,2,2,Queens,Long Island City,False,True,False,False,,2637
2981,East 79th Street,1750,Studio,1,Manhattan,Upper East Side,False,False,False,False,,2637
2982,East 52nd Street,3100,1,1,Manhattan,Turtle Bay,True,True,False,False,,2637
2983,East 34th Street,2800,2,1,Manhattan,Kips Bay,True,True,False,False,,2637
2984,West 68th Street,4150,1,1,Manhattan,Lincoln Square,True,False,False,False,,2637
2985,North End Avenue,3300,2,1,Manhattan,Battery Park City,True,True,False,False,,2637
2989,Washington Street,3550,2,1,Manhattan,Financial District,False,False,False,False,,2636
2991,220 first ave,1995,Studio,1,Manhattan,East Village,False,False,False,False,,2636
2993,Decatur Street,2050,1,1,Brooklyn,Bushwick,True,False,False,False,,2636
2994,UPPER WEST SIDE,8300,3,3,Manhattan,Lincoln Square,True,True,True,False,,2636
2995,East 95th Street,4495,3,2,Manhattan,Yorkville,True,True,False,False,,2636
2996,First Av,3650,3,1,Manhattan,East Harlem,True,False,False,False,,2636
2997,94th Avenue,1729,Studio,1,Queens,Jamaica,False,False,False,False,,2636
2998,606 W 57,2600,Studio,1,Manhattan,Hell's Kitchen,True,True,False,False,,2636
2999,Clinton Street,5400,3,1,Manhattan,Lower East Side,True,True,True,False,,2636
3000,West 76th Street,3750,2,1,Manhattan,Upper West Side,False,False,False,False,,2636
3001,E. 39th Street,4930,2,1,Manhattan,Murray Hill,True,True,False,False,,2636
3002,E 34th St.,5745,3,2,Manhattan,Kips Bay,True,True,False,False,,2636
3003,Cortelyou Road,1950,2,1,Brooklyn,Flatbush,False,False,False,False,,2635
3004,358 Kosciuszko St Apt 1B,2500,2,2,Brooklyn,Bedford-Stuyvesant,False,False,False,False,1200,2635
3005,7th Avenue,3100,1,1,Brooklyn,Central Slope,False,False,False,False,,2635
3006,Delancey,5425,3,2,Manhattan,Lower East Side,True,True,True,False,,2635
3007,E 86th St,6843,3,2,Manhattan,Yorkville,True,True,False,False,,2635
3008,East 102nd st,2129,1,1,Manhattan,East Harlem,False,False,True,False,,2635
3009,650 2nd ave,2995,1,1,Manhattan,Murray Hill,True,False,False,False,,2635
3010,East 78th Street,2475,1,1,Manhattan,Upper East Side,True,False,False,False,,2635
3011,277 Eastern Parkway Apt 4L,2350,1,1,Brooklyn,Crown Heights,True,False,False,False,,2635
3012,1170 Walton Avenue Apt 4C,1825,2,1,Bronx,Concourse,True,False,False,False,,2635
3013,135 e 13,3800,2,1,Manhattan,Greenwich Village,True,False,False,False,,2635
3014,East 78,2075,1,1,Manhattan,Upper East Side,False,False,False,False,,2635
3015,East 13th Street,3570,2,1,Manhattan,East Village,False,False,True,False,,2635
3016,Exchange Pl & Broad St,5400,4,1,Manhattan,Financial District,True,True,False,False,,2635
3017,Wall Street,2570,1,1,Manhattan,Financial District,True,True,False,False,,2635
3018,East 61st Street,2395,1,1,Manhattan,Upper East Side,False,False,False,False,,2635
3019,W 54th St,4590,2,1,Manhattan,Hell's Kitchen,True,True,True,False,,2635
3023,284 Eastern Parkway #4f Apt 4...,3195,3,1,Brooklyn,Crown Heights,True,False,False,False,,2634
3024,E 80th St,9300,3,2,Manhattan,Upper East Side,True,True,False,False,,2634
3025,East 93 Street,2150,1,1,Manhattan,Yorkville,False,False,False,False,,2634
3026,69th St & 3rd Ave,3800,1,1,Manhattan,Upper East Side,True,True,False,False,900,2634
3027,Hanover Square,3060,1,1,Manhattan,Financial District,True,True,False,False,,2634
3028,Stanton Street,2475,1,1,Manhattan,Lower East Side,False,False,True,False,4,2634
3029,Seaman Avenue,2245,2,1,Manhattan,Inwood,False,False,True,False,680,2634
3030,Bushwick Avenue,3100,2,2,Brooklyn,Bushwick,False,False,True,False,,2634
3031,East 40th Street,4000,3,2,Manhattan,Murray Hill,True,True,False,False,,2634
3032,East 38th Street,2525,1,1,Manhattan,Murray Hill,True,True,False,False,,2634
3033,Lawrence Street,2640,Studio,1,Brooklyn,Downtown Brooklyn,True,True,True,False,476,2634
3034,14th/5th Ave*BEAUTY*,4450,1,1,Manhattan,Flatiron District,True,True,False,False,,2634
3035,East 58th Street,2499,1,1,Manhattan,Sutton Place,False,False,False,False,,2634
3036,River Terrace,3895,3,1,Manhattan,Battery Park City,True,True,False,False,,2634
3037,243 W. 99th St. Apt. 7b (broa...,3300,1,1,Manhattan,Upper West Side,True,False,False,False,750,2634
3038,Cornelia Street,3550,2,1,Manhattan,West Village,False,False,False,False,,2634
3039,West 50th Street,3280,Studio,1,Manhattan,Hell's Kitchen,True,True,False,False,602,2634
3040,West 105th Street,2595,1,1,Manhattan,Upper West Side,True,False,False,False,,2634
3043,E 36th St,7550,3,2,Manhattan,Murray Hill,True,True,False,False,,2633
3044,23-15 Astoria Blvd New York ...,2750,1,1,Queens,Astoria,True,False,False,False,700,2633
3045,Center Blvd,3937,2,2,Queens,Hunters Point,True,True,False,False,,2633
3046,3rd Avenue,3200,2,1,Brooklyn,Gowanus,False,False,True,False,,2633
3047,East 106th st,2574,3,1,Manhattan,East Harlem,False,False,True,False,,2633
3048,West 23rd St,4430,1,1,Manhattan,Chelsea,True,True,True,False,642,2633
3049,Waterside Plaza,4350,2,2,Manhattan,Kips Bay,True,True,False,False,997,2633
3050,E 76th St,2750,1,1,Manhattan,Upper East Side,True,False,False,False,,2633
3051,Gold St,4000,3,1,Manhattan,Financial District,False,False,False,False,,2633
3052,Avenue A and East 14th street,3374,2,1,Manhattan,Alphabet City,False,False,True,False,,2633
3054,East 55th Street,2550,Studio,1,Manhattan,Midtown East,True,False,False,False,,2633
3055,East 73rd,2500,1,1,Manhattan,Upper East Side,False,False,False,False,,2633
3056,W 43rd,2350,1,1,Manhattan,Hell's Kitchen,False,False,False,False,690,2633
3057,E 25th St.,2800,2,1,Manhattan,Kips Bay,True,True,True,False,,2633
3058,East 63rd Street,9000,2,2,Manhattan,Upper East Side,False,True,False,False,1392,2633
3059,Gold St.,2950,1,1,Brooklyn,Downtown Brooklyn,True,True,True,False,,2633
3063,Wall Street,2741,Studio,1,Manhattan,Financial District,True,True,False,False,,2632
3064,West 45th Street,4220,1,1,Manhattan,Hell's Kitchen,False,True,True,False,,2632
3065,E 33rd St,4400,3,2,Manhattan,Kips Bay,True,True,True,False,,2632
3066,240 Crown Street,1035,Share,1,Brooklyn,Crown Heights,True,False,False,False,,2632
3067,Hudson Street,3095,1,1,Manhattan,West Village,False,False,True,False,,2632
3069,31st Street,1795,1,1,Queens,Astoria,True,True,False,False,,2632
3070,Wall St.,2608,2,1,Manhattan,Financial District,True,True,True,False,,2632
3071,Eighth Avenue,2450,Studio,1,Manhattan,Hell's Kitchen,True,True,True,False,650,2632
3072,SIXTH AVENUE,2950,Studio,1,Manhattan,Murray Hill,True,True,False,False,,2632
3073,395 South End Avenue Apt 11B,5835,2,2,Manhattan,Battery Park City,False,False,False,False,903,2632
3074,Water St.,4500,4,2,Manhattan,Financial District,True,True,False,False,,2632
3075,Broad Street & Exchange Place ...,3155,2,1,Manhattan,Financial District,True,True,True,False,,2632
3076,Edgecombe Avenue,2095,1,1,Manhattan,Hamilton Heights,False,False,False,False,,2632
3077,Washington Street,5635,2,2,Brooklyn,DUMBO,True,False,True,False,,2632
3078,west 8th,5295,1,1,Manhattan,Greenwich Village,True,False,False,False,,2632
3079,East 7th street,2800,2,1,Manhattan,East Village,False,False,False,False,,2632
3083,LOWER EAST SIDE  HOUSTON STRE...,2500,Loft,1,Manhattan,Alphabet City,False,False,False,False,,2631
3084,4705 5th St,3950,2,2,Queens,Hunters Point,False,False,False,False,,2631
3085,East 79th Street,2750,2,1,Manhattan,Upper East Side,False,False,False,False,,2631
3086,East 43rd St and First Ave,4295,2,1,Manhattan,Tudor City,True,True,False,False,,2631
3087,West 43rd Street,3195,2,1,Manhattan,Hell's Kitchen,True,True,False,False,,2631
3088,west 13th,3450,2,1,Manhattan,West Village,False,False,False,False,,2631
3089,FOR RENT IN LUXURY BUILDING,2179,Studio,1,Queens,Hunters Point,False,True,False,False,,2631
3090,Dekalb Avenue,3365,1,1,Brooklyn,Fort Greene,True,True,True,False,,2631
3091,Park Avenue South,4195,2,1,Manhattan,Gramercy Park,True,True,False,False,,2631
3092,514 Ocean Parkway 6C,1600,1,1,Brooklyn,Kensington,False,True,False,False,800,2631
3093,North 5th Street,4698,2,2,Brooklyn,Williamsburg,False,True,False,False,,2631
3094,Ninth Avenue,3100,2,1,Manhattan,Hell's Kitchen,False,False,False,False,,2631
3095,East 11th St,2290,2,1,Manhattan,Alphabet City,False,False,False,False,,2631
3096,Upper East Side,2300,1,1,Manhattan,Upper East Side,False,False,False,False,,2631
3097,West 105th Street,2450,1,1,Manhattan,Upper West Side,True,False,False,False,,2631
